series_id,category1_id,category2_id,category3_id,category4_id,category5_id,category6_id,category7_id,category8_id,category9_id,geoset_id
ELEC.CONS_UTO.PC-AR-99.A,0,37,383,461,,,,,,ELEC.CONS_UTO.PC-99.A
ELEC.CONS_UTO.NG-AK-99.A,0,37,383,462,,,,,,ELEC.CONS_UTO.NG-99.A
ELEC.SULFUR_CONTENT.COW-AK-99.A,0,41142,41155,41429,,,,,,ELEC.SULFUR_CONTENT.COW-99.A
ELEC.SULFUR_CONTENT.BIT-AL-99.A,0,41142,41155,41430,,,,,,ELEC.SULFUR_CONTENT.BIT-99.A
ELEC.SULFUR_CONTENT.SUB-AK-99.A,0,41142,41155,41431,,,,,,ELEC.SULFUR_CONTENT.SUB-99.A
ELEC.SULFUR_CONTENT.LIG-ESC-99.A,0,41142,41155,41432,,,,,,ELEC.SULFUR_CONTENT.LIG-99.A
ELEC.SULFUR_CONTENT.PEL-AK-99.A,0,41142,41155,41433,,,,,,ELEC.SULFUR_CONTENT.PEL-99.A
ELEC.SULFUR_CONTENT.PC-CA-99.A,0,41142,41155,41434,,,,,,ELEC.SULFUR_CONTENT.PC-99.A
ELEC.ASH_CONTENT.COW-AK-99.A,0,41143,41157,41447,,,,,,ELEC.ASH_CONTENT.COW-99.A
ELEC.ASH_CONTENT.BIT-AL-99.A,0,41143,41157,41448,,,,,,ELEC.ASH_CONTENT.BIT-99.A
ELEC.ASH_CONTENT.SUB-AK-99.A,0,41143,41157,41449,,,,,,ELEC.ASH_CONTENT.SUB-99.A
ELEC.ASH_CONTENT.LIG-ESC-99.A,0,41143,41157,41450,,,,,,ELEC.ASH_CONTENT.LIG-99.A
ELEC.ASH_CONTENT.PC-CA-99.A,0,41143,41157,41452,,,,,,ELEC.ASH_CONTENT.PC-99.A
ELEC.CONS_UTO.PEL-AK-99.A,0,37,383,460,,,,,,ELEC.CONS_UTO.PEL-99.A
ELEC.SULFUR_CONTENT.BIT-AL-97.A,0,41142,41154,41444,41984,,,,,ELEC.SULFUR_CONTENT.BIT-97.A
ELEC.SULFUR_CONTENT.SUB-AZ-97.A,0,41142,41154,41444,41985,,,,,ELEC.SULFUR_CONTENT.SUB-97.A
ELEC.SULFUR_CONTENT.LIG-LA-97.A,0,41142,41154,41444,41986,,,,,ELEC.SULFUR_CONTENT.LIG-97.A
ELEC.SULFUR_CONTENT.PEL-AK-97.A,0,41142,41154,41444,41987,,,,,ELEC.SULFUR_CONTENT.PEL-97.A
ELEC.SULFUR_CONTENT.PC-CA-97.A,0,41142,41154,41444,41988,,,,,ELEC.SULFUR_CONTENT.PC-97.A
ELEC.COST_BTU.NG-CT-96.M,0,41141,41152,41423,41814,,,,,ELEC.COST_BTU.NG-96.A
ELEC.SULFUR_CONTENT.COW-ENC-6.A,0,41142,41154,41445,41990,,,,,ELEC.SULFUR_CONTENT.COW-6.A
ELEC.SULFUR_CONTENT.BIT-ENC-6.A,0,41142,41154,41445,41991,,,,,ELEC.SULFUR_CONTENT.BIT-6.A
ELEC.SULFUR_CONTENT.SUB-MAT-6.A,0,41142,41154,41445,41992,,,,,ELEC.SULFUR_CONTENT.SUB-6.A
ELEC.SULFUR_CONTENT.LIG-TX-6.A,0,41142,41154,41445,41993,,,,,ELEC.SULFUR_CONTENT.LIG-6.A
ELEC.SULFUR_CONTENT.PEL-AK-6.A,0,41142,41154,41445,41994,,,,,ELEC.SULFUR_CONTENT.PEL-6.A
ELEC.CONS_UTO_BTU.PEL-AK-5.A,0,34,376,425,855,,,,,ELEC.CONS_UTO_BTU.PEL-5.A
ELEC.SULFUR_CONTENT.COW-AL-7.A,0,41142,41154,41446,41997,,,,,ELEC.SULFUR_CONTENT.COW-7.A
ELEC.SULFUR_CONTENT.BIT-AL-7.A,0,41142,41154,41446,41998,,,,,ELEC.SULFUR_CONTENT.BIT-7.A
ELEC.SULFUR_CONTENT.SUB-AZ-7.A,0,41142,41154,41446,41999,,,,,ELEC.SULFUR_CONTENT.SUB-7.A
ELEC.SULFUR_CONTENT.LIG-LA-7.A,0,41142,41154,41446,42000,,,,,ELEC.SULFUR_CONTENT.LIG-7.A
ELEC.SULFUR_CONTENT.PEL-AK-7.A,0,41142,41154,41446,42001,,,,,ELEC.SULFUR_CONTENT.PEL-7.A
ELEC.SULFUR_CONTENT.PC-CA-7.A,0,41142,41154,41446,42002,,,,,ELEC.SULFUR_CONTENT.PC-7.A
ELEC.CONS_EG_BTU.PEL-AK-6.A,0,33,374,412,819,,,,,ELEC.CONS_EG_BTU.PEL-6.A
ELEC.SULFUR_CONTENT.COW-AK-94.A,0,41142,41154,41438,41941,,,,,ELEC.SULFUR_CONTENT.COW-94.A
ELEC.COST_BTU.PEL-US-4.A,0,41141,41152,41424,41819,,,,,ELEC.COST_BTU.PEL-4.A
ELEC.RECEIPTS_BTU.NG-AK-1.A,0,41139,41148,41383,41478,,,,,ELEC.RECEIPTS_BTU.NG-1.A
ELEC.SULFUR_CONTENT.PEL-CT-3.A,0,41142,41154,41440,41959,,,,,ELEC.SULFUR_CONTENT.PEL-3.A
ELEC.CONS_UTO_BTU.NG-AK-97.A,0,34,376,426,861,,,,,ELEC.CONS_UTO_BTU.NG-97.A
ELEC.CONS_EG_BTU.PC-LA-6.A,0,33,374,412,820,,,,,ELEC.CONS_EG_BTU.PC-6.A
ELEC.SULFUR_CONTENT.BIT-AL-94.A,0,41142,41154,41438,41942,,,,,ELEC.SULFUR_CONTENT.BIT-94.A
ELEC.SULFUR_CONTENT.PC-TX-6.A,0,41142,41154,41445,41995,,,,,ELEC.SULFUR_CONTENT.PC-6.A
ELEC.CONS_UTO_BTU.COW-AL-7.A,0,34,376,428,866,,,,,ELEC.CONS_UTO_BTU.COW-7.A
ELEC.CONS_UTO_BTU.PEL-AK-7.A,0,34,376,428,867,,,,,ELEC.CONS_UTO_BTU.PEL-7.A
ELEC.ASH_CONTENT.BIT-DE-2.A,0,41143,41156,41457,42103,,,,,ELEC.ASH_CONTENT.BIT-2.A
ELEC.ASH_CONTENT.BIT-ENC-6.A,0,41143,41156,41463,42145,,,,,ELEC.ASH_CONTENT.BIT-6.A
ELEC.CONS_UTO_BTU.PC-AR-7.A,0,34,376,428,868,,,,,ELEC.CONS_UTO_BTU.PC-7.A
ELEC.CONS_UTO_BTU.NG-AK-7.A,0,34,376,428,869,,,,,ELEC.CONS_UTO_BTU.NG-7.A
ELEC.ASH_CONTENT.COW-AK-98.A,0,41143,41156,41454,42081,,,,,ELEC.ASH_CONTENT.COW-98.A
ELEC.ASH_CONTENT.BIT-AL-98.A,0,41143,41156,41454,42082,,,,,ELEC.ASH_CONTENT.BIT-98.A
ELEC.ASH_CONTENT.SUB-AK-98.A,0,41143,41156,41454,42083,,,,,ELEC.ASH_CONTENT.SUB-98.A
ELEC.ASH_CONTENT.LIG-ESC-98.A,0,41143,41156,41454,42084,,,,,ELEC.ASH_CONTENT.LIG-98.A
