category_id,name
41140,Average cost of fossil fuels for electricity generation
41141,Average cost of fossil fuels for electricity generation (per Btu)
41142,Quality of fossil fuels in electricity generation : sulfur content
41143,Quality of fossil fuels in electricity generation : ash content
41144,By sector
41145,By fuel type
41146,By sector
41147,By fuel type
41148,By sector
41149,By fuel type
41150,By sector
41151,By fuel type
41152,By sector
41153,By fuel type
41154,By sector
41155,By fuel type
41156,By sector
41157,By fuel type
41158,Electric power (total)
41159,Electric utility
41160,Independent power producers
41161,Coal
41162,Bituminous coal
41163,Subbituminous coal
41164,Lignite coal
41165,Petroleum liquids
41166,Petroleum coke
41167,Coal
41168,Bituminous coal
41169,Subbituminous coal
41170,Lignite coal
41171,Petroleum liquids
41172,Petroleum coke
41173,Coal
41174,Bituminous coal
41175,Subbituminous coal
41176,Lignite coal
41177,Petroleum liquids
41178,Petroleum coke
41179,Coal
41180,Bituminous coal
41181,Subbituminous coal
41182,Lignite coal
41183,Petroleum liquids
41184,Petroleum coke
41185,Electric power (total)
41186,Electric utility
41187,Independent power producers
41188,Electric power (total)
41189,Electric utility
41190,Independent power producers
41191,Electric power (total)
41192,Electric utility
41193,Independent power producers
41194,Electric power (total)
41195,Electric utility
41196,Independent power producers
41197,Electric power (total)
41198,Electric utility
41199,Independent power producers
41200,Electric power (total)
41201,Electric utility
41202,Independent power producers
41203,Coal
41204,Bituminous coal
41205,Subbituminous coal
41206,Lignite coal
41207,Petroleum liquids
41208,Petroleum coke
41209,Natural gas
41210,Electric power (total)
41211,Electric utility
41212,Independent power producers (total)
41213,Electric utility non-cogen
41214,Electric utility cogen
41215,All commercial (total)
41216,Commercial non-cogen
41217,Commercial cogen
41218,All industrial (total)
41219,Industrial non-cogen
41220,Industrial cogen
41221,Coal
41222,Bituminous coal
41223,Subbituminous coal
41224,Lignite coal
41225,Petroleum liquids
41226,Petroleum coke
41227,Natural gas
41228,Coal
41229,Bituminous coal
41230,Subbituminous coal
41231,Lignite coal
41232,Petroleum liquids
41233,Petroleum coke
41234,Natural gas
41235,Coal
41236,Bituminous coal
41237,Subbituminous coal
41238,Lignite coal
41239,Petroleum liquids
41240,Petroleum coke
41241,Natural gas
41242,Coal
41243,Bituminous coal
41244,Subbituminous coal
41245,Lignite coal
41246,Petroleum liquids
41247,Petroleum coke
41248,Natural gas
41249,Coal
41250,Bituminous coal
41251,Subbituminous coal
41253,Petroleum liquids
41254,Petroleum coke
41255,Natural gas
41256,Coal
41257,Bituminous coal
41258,Subbituminous coal
41260,Petroleum liquids
41261,Petroleum coke
41262,Natural gas
41267,Petroleum liquids
41269,Natural gas
41270,Coal
41271,Bituminous coal
41272,Subbituminous coal
41274,Petroleum liquids
41275,Petroleum coke
41276,Natural gas
41277,Coal
41278,Bituminous coal
41279,Subbituminous coal
41280,Lignite coal
41281,Petroleum liquids
41282,Petroleum coke
41283,Natural gas
41284,Coal
41285,Bituminous coal
41286,Subbituminous coal
41287,Lignite coal
41288,Petroleum liquids
41289,Petroleum coke
41290,Natural gas
41291,Coal
41292,Bituminous coal
41293,Subbituminous coal
41294,Lignite coal
41295,Petroleum liquids
41296,Petroleum coke
41297,Natural gas
41375,Coal
41376,Bituminous coal
41377,Subbituminous coal
41378,Lignite coal
41379,Petroleum liquids
41380,Petroleum coke
41381,Natural gas
41382,Electric power (total)
41383,Electric utility
41384,Independent power producers (total)
41385,Electric utility non-cogen
41386,Electric utility cogen
41387,All commercial (total)
41388,Commercial non-cogen
41389,Commercial cogen
41390,All industrial (total)
41391,Industrial non-cogen
41392,Industrial cogen
41393,Coal
41394,Bituminous coal
41395,Subbituminous coal
41396,Lignite coal
41397,Petroleum liquids
41398,Petroleum coke
41399,Natural gas
41400,Electric power (total)
41401,Electric utility
41402,Independent power producers (total)
41403,Electric utility non-cogen
41404,Electric utility cogen
41405,All commercial (total)
41406,Commercial non-cogen
41407,Commercial cogen
41408,All industrial (total)
41409,Industrial non-cogen
41410,Industrial cogen
41411,Coal
41412,Bituminous coal
41413,Subbituminous coal
41414,Lignite coal
41415,Petroleum liquids
41416,Petroleum coke
41417,Natural gas
41418,Electric power (total)
41419,Electric utility
41420,Independent power producers (total)
41421,Electric utility non-cogen
41422,Electric utility cogen
41423,All commercial (total)
41424,Commercial non-cogen
41425,Commercial cogen
41426,All industrial (total)
41427,Industrial non-cogen
41428,Industrial cogen
41429,Coal
41430,Bituminous coal
41431,Subbituminous coal
